scope,mse,rmse,mae,bias,nrmse_percent
overall,0.17840950370121872,0.4223854918214151,0.21229997145314525,0.08475999917913886,1.14396296168373
first_24h,0.08802269423006463,0.2966861881349798,0.14857478648344702,0.042885489560797366,0.8035266765579285
last_24h,0.2657104955828149,0.5154711394276259,0.2677452427472461,0.12376160697794841,1.396070420835929
