var,bias,mae,rmse,nrmse_percent,rmse_first_24h,rmse_last_24h,rmse_growth_last_vs_first
sst,0.26935833779318236,0.5846518003119797,0.7929186658949995,2.3710972190775093,0.5674474261322918,0.9602991306982426,1.6923138364440538
sss,0.05158992962164847,0.15541588995094305,0.26925639108332283,0.8042784970672092,0.15215089362804526,0.3527190222436304,2.3182185384063714
ssu,0.014558730947504431,0.05285590794047821,0.07543157351768451,2.768130992948307,0.058760755190098046,0.08515356594901881,1.4491571061933577
ssv,0.003531714767949726,0.05627361202392235,0.08201314356997912,2.822200264772087,0.05907654766919052,0.09487547360168203,1.605975253207988
